User,Public,,,,,,,,,,,,,,,,,,,
Protocol name,New FL Protocol,,,,,,,,,,,,,,,,,,,
Time of export,04/30/2025 23:48:26,,,,,,,,,,,,,,,,,,,
Time of last change,04/30/2025 23:35:00,,,,,,,,,,,,,,,,,,,
Time of last use (end time),04/30/2025 23:37:01,,,,,,,,,,,,,,,,,,,
Software version,1.2.0.0,,,,,,,,,,,,,,,,,,,
Instrument name,iD3-2585,,,,,,,,,,,,,,,,,,,
Serial number,2585,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Experiment (1 of 1),,,,,,,,,,,,,,,,,,,,
Experiment name,Experiment 1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Plate  (1 of 7),,,,,,,,,,,,,,,,,,,,
Plate name,day1,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,
Microplate name,Costar blk/clrbtm,,,,,,,,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,,,,,,,,
Is lidded,FALSE,,,,,,,,,,,,,,,,,,,
Read Time,04/24/2025 23:50:17,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,,,,,,,,
Excitation/Emission,485 nm/525 nm,,,,,,,,,,,,,,,,,,,
,560 nm/670 nm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,,,,,,,,
Bottom read,FALSE,,,,,,,,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,
Shake,TRUE,,,,,,,,,,,,,,,,,,,
Duration,5,,,,,,,,,,,,,,,,,,,
Mode,Orbital,,,,,,,,,,,,,,,,,,,
Intensity,Medium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,
